Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
106,Bryan Woo,24,SEA,AL,2.3,9,3,.750,2.89,22,22,0,0,0,0,121.1,96,41,39,14,13,0,101,3,0,0,472,127,3.40,0.898,7.1,1.0,1.0,7.5,7.77,,woobr01
107,David Peterson*,28,NYM,NL,2.9,10,3,.769,2.90,21,21,0,0,0,0,121.0,110,44,39,8,46,0,101,7,1,4,510,133,3.67,1.289,8.2,0.6,3.4,7.5,2.20,,peterda01
108,Lance Lynn,37,STL,NL,0.3,7,4,.636,3.84,23,23,0,0,0,0,117.1,113,64,50,16,44,0,109,4,0,3,511,108,4.31,1.338,8.7,1.2,3.4,8.4,2.48,,lynnla01
109,Jordan Montgomery*,31,ARI,NL,-1.4,8,7,.533,6.23,25,21,3,0,0,1,117.0,149,83,81,14,44,3,83,2,0,7,532,68,4.48,1.650,11.5,1.1,3.4,6.4,1.89,,montgjo01
110,Grayson Rodriguez,24,BAL,AL,1.4,13,4,.765,3.86,20,20,0,0,0,0,116.2,109,52,50,15,36,0,130,5,0,6,491,99,3.66,1.243,8.4,1.2,2.8,10.0,3.61,,rodrigr01
111,Nick Lodolo*,26,CIN,NL,1.2,9,6,.600,4.76,21,21,0,0,0,0,115.1,101,62,61,13,37,0,122,18,0,1,493,92,3.95,1.197,7.9,1.0,2.9,9.5,3.30,,lodolni01
112,Kyle Freeland*,31,COL,NL,0.0,5,8,.385,5.24,21,21,0,0,0,0,113.1,134,73,66,22,26,0,85,1,0,1,490,89,4.90,1.412,10.6,1.7,2.1,6.8,3.27,,freelky01
113,José Soriano,25,LAA,AL,1.9,6,7,.462,3.42,22,20,1,0,0,0,113.0,91,50,43,8,45,1,97,9,0,7,468,122,3.80,1.204,7.2,0.6,3.6,7.7,2.16,,soriajo02
114,Kenta Maeda,36,DET,AL,-1.8,3,7,.300,6.09,29,17,2,0,0,0,112.1,124,80,76,22,31,0,96,5,0,3,485,68,4.96,1.380,9.9,1.8,2.5,7.7,3.10,,maedake01
115,Reese Olson,24,DET,AL,1.3,4,8,.333,3.53,22,22,0,0,0,0,112.1,100,51,44,7,33,0,101,4,0,4,465,117,3.17,1.184,8.0,0.6,2.6,8.1,3.06,,olsonre01
116,Cole Irvin*,30,2TM,AL,-0.8,6,6,.500,5.11,29,16,4,0,0,1,111.0,132,71,63,18,29,1,78,6,0,2,492,76,4.81,1.450,10.7,1.5,2.4,6.3,2.69,,irvinco01
116,Cole Irvin*,30,BAL,AL,-0.5,6,5,.545,4.86,25,16,3,0,0,1,107.1,126,66,58,17,25,1,76,5,0,1,470,79,4.65,1.407,10.6,1.4,2.1,6.4,3.04,,irvinco01
116,Cole Irvin*,30,MIN,AL,-0.3,0,1,.000,12.27,4,0,1,0,0,0,3.2,6,5,5,1,4,0,2,1,0,1,22,37,9.71,2.727,14.7,2.5,9.8,4.9,0.50,,irvinco01
117,Jordan Hicks,27,SFG,NL,0.9,4,7,.364,4.10,29,20,2,0,0,1,109.2,112,54,50,12,47,0,96,9,2,7,481,94,4.37,1.450,9.2,1.0,3.9,7.9,2.04,,hicksjo03
118,José Ureña,32,TEX,AL,0.6,5,8,.385,3.80,33,9,8,0,0,1,109.0,105,51,46,13,39,2,70,4,0,3,463,101,4.62,1.321,8.7,1.1,3.2,5.8,1.79,,urenajo01
119,Tyler Alexander*,29,TBR,AL,0.3,6,5,.545,5.10,23,9,1,0,0,0,107.2,110,61,61,23,24,1,90,5,0,0,455,78,5.08,1.245,9.2,1.9,2.0,7.5,3.75,,alexaty01
120,Bryse Wilson,26,MIL,NL,0.9,5,4,.556,4.04,34,9,7,0,0,0,104.2,102,49,47,20,31,0,82,4,1,3,442,101,5.09,1.271,8.8,1.7,2.7,7.1,2.65,,wilsobr02
121,Blake Snell*,31,SFG,NL,2.1,5,3,.625,3.12,20,20,0,1,1,0,104.0,65,38,36,6,44,0,145,1,0,8,418,124,2.43,1.048,5.6,0.5,3.8,12.5,3.30,,snellbl01
122,Carlos Carrasco,37,CLE,AL,-1.2,3,10,.231,5.64,21,21,0,0,0,0,103.2,112,68,65,19,33,0,89,5,0,5,447,72,4.93,1.399,9.7,1.6,2.9,7.7,2.70,,carraca01
123,Bowden Francis,28,TOR,AL,1.6,8,5,.615,3.30,27,13,7,0,0,0,103.2,74,41,38,17,22,0,92,7,1,0,408,125,4.36,0.926,6.4,1.5,1.9,8.0,4.18,,francbo01
124,Jon Gray,32,TEX,AL,0.4,5,6,.455,4.47,23,19,2,0,0,0,102.2,107,54,51,11,28,1,86,0,0,1,439,86,3.70,1.315,9.4,1.0,2.5,7.5,3.07,,grayjo02
125,Casey Mize,27,DET,AL,0.2,2,6,.250,4.49,22,20,0,0,0,0,102.1,121,57,51,11,29,0,78,2,1,2,452,92,3.95,1.466,10.6,1.0,2.6,6.9,2.69,,mizeca01
126,James Paxton*,35,2TM,2LG,0.1,9,3,.750,4.40,21,21,0,0,0,0,100.1,95,53,49,12,50,0,73,1,0,4,437,91,4.79,1.445,8.5,1.1,4.5,6.5,1.46,,paxtoja01
126,James Paxton*,35,LAD,NL,0.2,8,2,.800,4.43,18,18,0,0,0,0,89.1,82,45,44,11,48,0,64,1,0,4,390,90,4.98,1.455,8.3,1.1,4.8,6.4,1.33,,paxtoja01
126,James Paxton*,35,BOS,AL,-0.1,1,1,.500,4.09,3,3,0,0,0,0,11.0,13,8,5,1,2,0,9,0,0,0,47,105,3.26,1.364,10.6,0.8,1.6,7.4,4.50,,paxtoja01
127,Joe Musgrove,31,SDP,NL,1.7,6,5,.545,3.88,19,19,0,0,0,0,99.2,94,44,43,14,23,0,101,10,0,0,410,106,3.96,1.174,8.5,1.3,2.1,9.1,4.39,,musgrjo01
128,Cooper Criswell,27,BOS,AL,0.7,6,5,.545,4.08,26,18,4,0,0,0,99.1,103,52,45,10,31,0,73,7,0,2,424,102,4.15,1.349,9.3,0.9,2.8,6.6,2.35,,criswco01
129,Ryan Yarbrough*,32,2TM,2LG,1.2,5,2,.714,3.19,44,0,12,0,0,1,98.2,70,36,35,11,32,3,65,12,0,0,398,127,4.64,1.034,6.4,1.0,2.9,5.9,2.03,,yarbrry01
129,Ryan Yarbrough*,32,LAD,NL,0.3,4,2,.667,3.74,32,0,10,0,0,1,67.1,52,29,28,9,25,3,39,7,0,0,281,107,5.17,1.144,7.0,1.2,3.3,5.2,1.56,,yarbrry01
129,Ryan Yarbrough*,32,TOR,AL,0.9,1,0,1.000,2.01,12,0,2,0,0,0,31.1,18,7,7,2,7,0,26,5,0,0,117,206,3.49,0.798,5.2,0.6,2.0,7.5,3.71,,yarbrry01
130,Keider Montero,23,DET,AL,0.1,6,6,.500,4.76,19,16,1,1,1,0,98.1,100,54,52,19,31,0,77,3,0,2,412,86,5.15,1.332,9.2,1.7,2.8,7.0,2.48,,monteke01
131,Randy Vásquez,25,SDP,NL,0.5,4,7,.364,4.87,20,20,0,0,0,0,98.0,119,56,53,13,29,1,62,6,2,5,431,84,4.70,1.510,10.9,1.2,2.7,5.7,2.14,,vasqura02
132,Logan Allen*,25,CLE,AL,-1.1,8,5,.615,5.73,20,20,0,0,0,0,97.1,113,63,62,22,41,0,79,4,0,4,432,71,5.87,1.582,10.4,2.0,3.8,7.3,1.93,,allenlo02
133,Edward Cabrera,26,MIA,NL,0.6,4,8,.333,4.95,20,20,0,0,0,0,96.1,82,60,53,15,50,0,107,5,1,1,418,87,4.68,1.370,7.7,1.4,4.7,10.0,2.14,,cabreed02
134,Gerrit Cole,33,NYY,AL,1.9,8,5,.615,3.41,17,17,0,0,0,0,95.0,78,38,36,11,29,1,99,6,0,0,390,118,3.69,1.126,7.4,1.0,2.7,9.4,3.41,,colege01
135,Dane Dunning,29,TEX,AL,-0.6,5,7,.417,5.31,26,15,6,0,0,0,95.0,97,60,56,18,40,1,91,6,0,2,421,72,5.17,1.442,9.2,1.7,3.8,8.6,2.28,,dunnida01
136,Tyler Holton*,28,DET,AL,3.1,7,2,.778,2.19,66,9,14,0,0,8,94.1,57,25,23,7,17,1,77,4,0,0,354,188,3.17,0.784,5.4,0.7,1.6,7.3,4.53,MVP-15,holtoty01
137,Carson Spiers,26,CIN,NL,0.0,5,7,.417,5.46,22,10,4,0,0,0,90.2,112,59,55,20,27,0,80,5,0,0,410,81,5.33,1.533,11.1,2.0,2.7,7.9,2.96,,spierca01
138,Justin Verlander,41,HOU,AL,-0.3,5,6,.455,5.48,17,17,0,0,0,0,90.1,98,56,55,15,27,0,74,6,1,2,396,73,4.78,1.384,9.8,1.5,2.7,7.4,2.74,,verlaju01
139,Derek Law,33,WSN,NL,1.9,7,4,.636,2.60,75,0,8,0,0,1,90.0,82,31,26,7,24,0,76,1,0,6,365,155,3.32,1.178,8.2,0.7,2.4,7.6,3.17,,lawde01
140,Yoshinobu Yamamoto,25,LAD,NL,1.8,7,2,.778,3.00,18,18,0,0,0,0,90.0,78,32,30,7,22,0,105,1,0,2,368,133,2.61,1.111,7.8,0.7,2.2,10.5,4.77,,yamamyo01
141,Dakota Hudson,29,COL,NL,-0.9,2,12,.143,6.17,18,18,0,0,0,0,89.0,99,66,61,11,50,0,49,5,0,3,404,76,5.53,1.674,10.0,1.1,5.1,5.0,0.98,,hudsoda02
142,DJ Herz*,23,WSN,NL,0.8,4,9,.308,4.16,19,19,0,0,0,0,88.2,76,45,41,11,36,0,106,3,1,5,382,97,3.71,1.263,7.7,1.1,3.7,10.8,2.94,,herzdj01
143,Chris Paddack,28,MIN,AL,0.4,5,3,.625,4.99,17,17,0,0,0,0,88.1,102,50,49,14,21,0,79,1,0,3,384,84,4.18,1.392,10.4,1.4,2.1,8.0,3.76,,paddach01
144,Reid Detmers*,24,LAA,AL,-1.1,4,9,.308,6.70,17,17,0,0,0,0,87.1,98,67,65,18,38,0,109,2,0,4,391,63,4.72,1.557,10.1,1.9,3.9,11.2,2.87,,detmere01
145,Carson Fulmer,30,LAA,AL,0.8,0,5,.000,4.15,37,8,16,0,0,0,86.2,81,45,40,11,40,4,81,5,2,5,379,101,4.50,1.396,8.4,1.1,4.2,8.4,2.03,,fulmeca01
146,Yariel Rodríguez,27,TOR,AL,0.0,1,8,.111,4.47,21,21,0,0,0,0,86.2,74,46,43,11,40,0,85,3,2,0,368,92,4.34,1.315,7.7,1.1,4.2,8.8,2.13,,rodriya01
147,Ryan Weathers*,24,MIA,NL,2.1,5,6,.455,3.63,16,16,0,0,0,0,86.2,78,39,35,11,24,1,80,9,1,2,367,119,4.11,1.177,8.1,1.1,2.5,8.3,3.33,,weathry01
148,Matthew Liberatore*,24,STL,NL,0.3,3,4,.429,4.40,60,6,8,0,0,0,86.0,81,44,42,11,28,3,76,2,0,3,358,95,4.11,1.267,8.5,1.2,2.9,8.0,2.71,,liberma01
149,Clarke Schmidt,28,NYY,AL,2.0,5,5,.500,2.85,16,16,0,0,0,0,85.1,71,31,27,8,30,0,93,9,0,2,353,142,3.58,1.184,7.5,0.8,3.2,9.8,3.10,,schmicl01
150,Ross Stripling,34,OAK,AL,-1.1,2,11,.154,6.01,22,14,3,0,0,0,85.1,109,65,57,7,22,2,49,1,1,2,381,66,3.89,1.535,11.5,0.7,2.3,5.2,2.23,,stripro01
151,Luke Weaver,30,NYY,AL,1.9,7,3,.700,2.89,62,0,12,0,0,4,84.0,52,28,27,10,26,0,103,4,0,1,331,140,3.33,0.929,5.6,1.1,2.8,11.0,3.96,,weavelu01
152,Taijuan Walker,31,PHI,NL,-1.6,3,7,.300,7.10,19,15,1,0,0,0,83.2,107,68,66,24,37,0,58,3,0,0,381,60,6.94,1.721,11.5,2.6,4.0,6.2,1.57,,walketa01
153,Roddery Muñoz,24,MIA,NL,-0.9,2,7,.222,6.53,18,17,0,0,0,0,82.2,89,66,60,26,42,0,70,5,1,4,379,66,7.27,1.585,9.7,2.8,4.6,7.6,1.67,,munozro01
154,Pedro Avila,27,2TM,2LG,0.5,6,1,.857,3.81,54,0,17,0,0,1,82.2,73,38,35,8,36,1,82,4,0,7,353,108,3.89,1.319,7.9,0.9,3.9,8.9,2.28,,avilape01
154,Pedro Avila,27,SDP,NL,-0.2,1,0,1.000,9.00,4,0,2,0,0,0,8.0,5,8,8,1,6,0,9,1,0,3,35,48,5.17,1.375,5.6,1.1,6.8,10.1,1.50,,avilape01
154,Pedro Avila,27,CLE,AL,0.6,5,1,.833,3.25,50,0,15,0,0,1,74.2,68,30,27,7,30,1,73,3,0,4,318,125,3.76,1.313,8.2,0.8,3.6,8.8,2.43,,avilape01
155,Yu Darvish,37,SDP,NL,1.9,7,3,.700,3.31,16,16,0,0,0,0,81.2,65,32,30,12,22,0,78,3,0,2,331,124,4.08,1.065,7.2,1.3,2.4,8.6,3.55,,darviyu01
156,Sean Hjelle,27,SFG,NL,0.6,3,4,.429,3.90,58,0,12,0,0,0,80.2,84,37,35,10,14,2,75,5,0,0,337,99,3.62,1.215,9.4,1.1,1.6,8.4,5.36,,hjellse01
157,Ryan Walker,28,SFG,NL,2.8,10,4,.714,1.91,76,1,22,0,0,10,80.0,50,19,17,5,18,1,99,9,0,2,308,202,2.52,0.850,5.6,0.6,2.0,11.1,5.50,,walkery01
158,Cade Povich*,24,BAL,AL,-0.4,3,9,.250,5.20,16,16,0,0,0,0,79.2,80,49,46,12,34,1,69,3,0,1,352,74,4.79,1.431,9.0,1.4,3.8,7.8,2.03,,povicca01
159,Patrick Sandoval*,27,LAA,AL,0.0,2,8,.200,5.08,16,16,0,0,0,0,79.2,85,49,45,8,35,2,81,3,2,6,353,83,3.87,1.506,9.6,0.9,4.0,9.2,2.31,,sandopa02
160,Michael Soroka,26,CHW,AL,0.7,0,10,.000,4.74,25,9,7,0,0,0,79.2,66,49,42,13,44,1,84,3,2,2,347,87,4.95,1.381,7.5,1.5,5.0,9.5,1.91,,sorokmi01
161,Shane Baz,25,TBR,AL,2.2,4,3,.571,3.06,14,14,0,0,0,0,79.1,57,28,27,9,27,0,69,4,0,2,319,131,4.07,1.059,6.5,1.0,3.1,7.8,2.56,,bazsh01
162,Michael Tonkin,34,3TM,2LG,-0.1,4,4,.500,3.63,57,0,23,0,0,2,79.1,70,43,32,6,30,1,85,8,1,4,340,113,3.44,1.261,7.9,0.7,3.4,9.6,2.83,,tonkimi01
162,Michael Tonkin,34,2TM,AL,0.7,3,2,.600,3.48,52,0,19,0,0,2,72.1,62,33,28,5,28,1,79,5,1,3,305,118,3.25,1.244,7.7,0.6,3.5,9.8,2.82,,tonkimi01
162,Michael Tonkin,34,NYM,NL,-0.8,1,2,.333,5.14,5,0,4,0,0,0,7.0,8,10,4,1,2,0,6,3,0,1,35,79,5.45,1.429,10.3,1.3,2.6,7.7,3.00,,tonkimi01
162,Michael Tonkin,34,MIN,AL,0.2,0,0,,3.86,13,0,4,0,0,0,16.1,18,7,7,0,7,0,22,2,0,0,73,111,2.13,1.531,9.9,0.0,3.9,12.1,3.14,,tonkimi01
162,Michael Tonkin,34,NYY,AL,0.6,3,2,.600,3.38,39,0,15,0,0,2,56.0,44,26,21,5,21,1,57,3,1,3,232,120,3.58,1.161,7.1,0.8,3.4,9.2,2.71,,tonkimi01
163,Keegan Akin*,29,BAL,AL,1.1,3,1,.750,3.32,66,0,21,0,0,1,78.2,55,31,29,9,19,1,97,2,0,4,313,116,2.99,0.941,6.3,1.0,2.2,11.1,5.11,,akinke01
164,Bryan Abreu,27,HOU,AL,1.6,3,3,.500,3.10,78,0,3,0,0,1,78.1,59,27,27,9,32,0,103,6,1,4,325,129,3.49,1.162,6.8,1.0,3.7,11.8,3.22,,abreubr01
165,Tylor Megill,28,NYM,NL,0.5,4,5,.444,4.04,16,15,0,0,0,0,78.0,70,39,35,8,32,0,91,4,0,4,337,96,3.55,1.308,8.1,0.9,3.7,10.5,2.84,,megilty01
166,Graham Ashcraft,26,CIN,NL,0.3,5,5,.500,5.24,15,15,0,0,0,0,77.1,89,50,45,11,27,0,57,6,0,4,350,84,4.82,1.500,10.4,1.3,3.1,6.6,2.11,,ashcrgr01
167,Slade Cecconi,25,ARI,NL,-1.1,2,7,.222,6.66,20,13,2,0,0,0,77.0,92,57,57,16,17,1,64,4,1,2,338,64,5.02,1.416,10.8,1.9,2.0,7.5,3.76,,ceccosl01
168,Cody Bradford*,26,TEX,AL,1.1,6,3,.667,3.54,14,13,0,0,0,0,76.1,64,32,30,10,13,0,70,1,0,1,308,109,3.59,1.009,7.5,1.2,1.5,8.3,5.38,,bradfco01
169,Gavin Williams,24,CLE,AL,-0.1,3,10,.231,4.86,16,16,0,0,0,0,76.0,72,42,41,7,32,0,79,3,0,2,332,84,3.67,1.368,8.5,0.8,3.8,9.4,2.47,,williga01
170,Josh Winckowski,26,BOS,AL,0.4,4,2,.667,4.14,40,6,16,0,0,2,76.0,81,44,35,10,26,3,60,4,0,1,336,100,4.48,1.408,9.6,1.2,3.1,7.1,2.31,,winckjo01
171,Triston McKenzie,26,CLE,AL,-0.5,3,5,.375,5.11,16,16,0,0,0,0,75.2,69,46,43,19,49,1,74,1,0,5,340,80,6.46,1.559,8.2,2.3,5.8,8.8,1.51,,mckentr01
172,Walker Buehler,29,LAD,NL,-1.2,1,6,.143,5.38,16,16,0,0,0,0,75.1,89,52,45,16,28,0,64,5,0,3,344,74,5.54,1.553,10.6,1.9,3.3,7.6,2.29,,buehlwa01
173,Cade Smith,25,CLE,AL,2.4,6,1,.857,1.91,74,0,2,0,0,1,75.1,51,16,16,1,17,0,103,3,1,0,289,213,1.40,0.903,6.1,0.1,2.0,12.3,6.06,CYA-9ROY-5,smithca06
174,Paul Blackburn,30,2TM,2LG,0.5,5,4,.556,4.66,14,14,0,0,0,0,75.1,76,41,39,12,21,0,59,3,0,0,316,85,4.63,1.288,9.1,1.4,2.5,7.0,2.81,,blackpa01
174,Paul Blackburn,30,OAK,AL,0.7,4,2,.667,4.41,9,9,0,0,0,0,51.0,45,25,25,8,14,0,38,1,0,0,208,90,4.60,1.157,7.9,1.4,2.5,6.7,2.71,,blackpa01
174,Paul Blackburn,30,NYM,NL,-0.3,1,2,.333,5.18,5,5,0,0,0,0,24.1,31,16,14,4,7,0,21,2,0,0,108,76,4.69,1.562,11.5,1.5,2.6,7.8,3.00,,blackpa01
175,Hunter Gaddis,26,CLE,AL,2.6,6,3,.667,1.57,78,0,8,0,0,0,74.2,43,16,13,4,14,1,66,4,0,2,278,260,2.82,0.763,5.2,0.5,1.7,8.0,4.71,,gaddihu01
176,Emmanuel Clase,26,CLE,AL,4.4,4,2,.667,0.61,74,0,66,0,0,47,74.1,39,10,5,2,10,1,66,2,0,2,270,674,2.22,0.659,4.7,0.2,1.2,8.0,6.60,ASCYA-3MVP-11,claseem01
177,José Buttó,26,NYM,NL,2.2,7,3,.700,2.55,30,7,5,0,0,3,74.0,41,21,21,6,38,0,79,5,1,2,294,151,3.83,1.068,5.0,0.7,4.6,9.6,2.08,,buttojo01
178,Joe Ross,31,MIL,NL,0.5,3,6,.333,3.77,25,10,8,0,0,0,74.0,72,35,31,7,29,1,66,1,0,1,321,108,3.83,1.365,8.8,0.9,3.5,8.0,2.28,,rossjo01
179,Merrill Kelly,35,ARI,NL,1.1,5,1,.833,4.03,13,13,0,0,0,0,73.2,67,35,33,11,19,0,63,2,2,1,300,105,4.25,1.167,8.2,1.3,2.3,7.7,3.32,,kellyme01
180,Victor Vodnik,24,COL,NL,0.7,5,4,.556,4.28,64,0,19,0,0,9,73.2,72,37,35,7,37,1,65,1,0,4,320,110,4.18,1.480,8.8,0.9,4.5,7.9,1.76,,vodnivi01
181,Jason Adam,32,2TM,2LG,2.6,7,2,.778,1.95,74,0,10,0,0,4,73.2,40,20,16,5,23,4,81,6,1,2,282,208,3.03,0.855,4.9,0.6,2.8,9.9,3.52,,adamja01
181,Jason Adam,32,TBR,AL,1.2,4,2,.667,2.49,47,0,9,0,0,4,47.0,26,17,13,4,16,3,50,3,0,0,180,161,3.36,0.894,5.0,0.8,3.1,9.6,3.13,,adamja01
181,Jason Adam,32,SDP,NL,1.4,3,0,1.000,1.01,27,0,1,0,0,0,26.2,14,3,3,1,7,1,31,3,1,2,102,410,2.45,0.788,4.7,0.3,2.4,10.5,4.43,,adamja01
182,Jared Shuster*,25,CHW,AL,1.0,2,5,.286,4.30,39,4,14,0,0,0,73.1,74,38,35,9,33,0,56,0,0,3,321,96,4.58,1.459,9.1,1.1,4.1,6.9,1.70,,shustja01
183,Hunter Strickland,35,LAA,AL,1.0,3,2,.600,3.31,72,0,10,0,0,1,73.1,56,31,27,10,24,1,57,2,0,1,294,127,4.45,1.091,6.9,1.2,2.9,7.0,2.38,,strichu01
184,Justin Martínez,22,ARI,NL,1.9,5,6,.455,2.48,64,0,28,0,0,8,72.2,59,26,20,2,36,6,91,2,1,8,308,171,2.59,1.307,7.3,0.2,4.5,11.3,2.53,,martiju01
185,Hogan Harris*,27,OAK,AL,1.9,4,4,.500,2.86,21,9,4,0,0,0,72.1,65,29,23,7,33,0,61,3,1,3,305,138,4.23,1.355,8.1,0.9,4.1,7.6,1.85,,harriho03
186,Trent Thornton,30,SEA,AL,0.3,4,3,.571,3.61,71,0,16,0,0,1,72.1,63,32,29,8,19,1,77,5,0,4,294,102,3.47,1.134,7.8,1.0,2.4,9.6,4.05,,thorntr01
187,Tanner Banks*,32,2TM,2LG,0.1,2,3,.400,3.98,63,2,16,0,0,2,72.1,69,41,32,6,25,2,78,3,0,0,311,105,3.25,1.300,8.6,0.7,3.1,9.7,3.12,,banksta01
187,Tanner Banks*,32,CHW,AL,-0.1,2,2,.500,4.13,41,1,8,0,0,2,48.0,47,30,22,5,15,2,55,2,0,0,205,100,3.29,1.292,8.8,0.9,2.8,10.3,3.67,,banksta01
187,Tanner Banks*,32,PHI,NL,0.2,0,1,.000,3.70,22,1,8,0,0,0,24.1,22,11,10,1,10,0,23,1,0,0,106,116,3.17,1.315,8.1,0.4,3.7,8.5,2.30,,banksta01
188,Hayden Birdsong,22,SFG,NL,0.3,5,6,.455,4.75,16,16,0,0,0,0,72.0,57,39,38,11,43,0,88,4,0,4,315,81,4.67,1.389,7.1,1.4,5.4,11.0,2.05,,birdsha01
189,David Robertson,39,TEX,AL,1.7,3,4,.429,3.00,68,0,8,0,0,2,72.0,53,25,24,5,27,4,99,5,1,8,296,128,2.65,1.111,6.6,0.6,3.4,12.4,3.67,,roberda08
190,Tanner Scott*,29,2TM,NL,4.0,9,6,.600,1.75,72,0,41,0,0,22,72.0,45,20,14,3,36,4,84,1,0,0,294,244,2.92,1.125,5.6,0.4,4.5,10.5,2.33,AS,scottta01
190,Tanner Scott*,29,MIA,NL,3.3,6,5,.545,1.18,44,0,35,0,0,18,45.2,19,10,6,2,27,2,53,1,0,0,182,367,3.25,1.007,3.7,0.4,5.3,10.4,1.96,,scottta01
190,Tanner Scott*,29,SDP,NL,0.7,3,1,.750,2.73,28,0,6,0,0,4,26.1,26,10,8,1,9,2,31,0,0,0,112,152,2.33,1.329,8.9,0.3,3.1,10.6,3.44,,scottta01
191,Dennis Santana,28,2TM,2LG,0.9,3,1,.750,3.89,62,0,20,0,0,3,71.2,57,33,31,4,21,0,69,4,2,1,287,107,3.01,1.088,7.2,0.5,2.6,8.7,3.29,,santade01
191,Dennis Santana,28,NYY,AL,-0.4,2,0,1.000,6.26,23,0,7,0,0,2,27.1,27,19,19,2,10,0,19,1,2,1,115,65,3.93,1.354,8.9,0.7,3.3,6.3,1.90,,santade01
191,Dennis Santana,28,PIT,NL,1.3,1,1,.500,2.44,39,0,13,0,0,1,44.1,30,14,12,2,11,0,50,3,0,0,172,173,2.44,0.925,6.1,0.4,2.2,10.2,4.55,,santade01
192,Ty Blach*,33,COL,NL,-0.8,3,8,.273,6.94,20,12,4,0,0,0,71.1,103,55,55,17,18,0,36,6,0,1,330,68,6.26,1.696,13.0,2.1,2.3,4.5,2.00,,blachty01
193,Cole Sands,26,MIN,AL,1.3,9,1,.900,3.28,62,0,11,0,0,4,71.1,59,30,26,6,12,0,85,6,1,3,292,128,2.63,0.995,7.4,0.8,1.5,10.7,7.08,,sandsco01
194,A.J. Puk*,29,2TM,NL,1.4,4,9,.308,3.15,62,4,9,0,0,3,71.1,51,31,25,5,28,2,88,2,1,2,294,137,2.87,1.107,6.4,0.6,3.5,11.1,3.14,,pukaj01
194,A.J. Puk*,29,MIA,NL,0.1,4,8,.333,4.30,32,4,4,0,0,1,44.0,36,27,21,3,23,0,45,1,1,2,191,101,3.64,1.341,7.4,0.6,4.7,9.2,1.96,,pukaj01
194,A.J. Puk*,29,ARI,NL,1.3,0,1,.000,1.32,30,0,5,0,0,2,27.1,15,4,4,2,5,2,43,1,0,0,103,325,1.63,0.732,4.9,0.7,1.6,14.2,8.60,,pukaj01
195,Buck Farmer,33,CIN,NL,1.7,3,2,.600,3.04,61,1,21,0,0,1,71.0,56,25,24,7,29,6,70,7,0,1,299,145,4.00,1.197,7.1,0.9,3.7,8.9,2.41,,farmebu01
196,Josh Hader*,30,HOU,AL,0.6,8,8,.500,3.80,71,0,62,0,0,34,71.0,43,33,30,12,25,0,105,1,2,4,278,105,3.50,0.958,5.5,1.5,3.2,13.3,4.20,,haderjo01
197,Griffin Jax,29,MIN,AL,2.8,5,5,.500,2.03,72,0,16,0,0,10,71.0,47,19,16,4,15,1,95,2,0,4,276,207,1.94,0.873,6.0,0.5,1.9,12.0,6.33,,jaxgr01
198,Kevin Kelly,26,TBR,AL,1.7,5,2,.714,2.67,68,0,13,0,0,1,70.2,59,25,21,7,9,1,63,5,0,1,278,150,3.27,0.962,7.5,0.9,1.1,8.0,7.00,,kellyke02
199,Andrew Kittredge,34,STL,NL,1.6,5,5,.500,2.80,74,0,4,0,0,1,70.2,60,26,22,10,20,2,67,0,0,0,287,148,3.96,1.132,7.6,1.3,2.5,8.5,3.35,,kittran01
200,Declan Cronin,26,MIA,NL,0.4,3,4,.429,4.35,56,0,9,0,0,0,70.1,75,41,34,1,25,3,72,5,0,1,306,99,2.58,1.422,9.6,0.1,3.2,9.2,2.88,,cronide01
201,Tyler Rogers,33,SFG,NL,1.5,3,4,.429,2.82,77,0,13,0,0,1,70.1,67,23,22,7,6,2,51,7,0,1,290,137,3.56,1.038,8.6,0.9,0.8,6.5,8.50,,rogerty01
202,Will Vest,29,DET,AL,1.5,3,4,.429,2.82,69,0,14,0,0,2,70.1,61,23,22,3,18,2,63,3,0,4,289,146,2.82,1.123,7.8,0.4,2.3,8.1,3.50,,vestwi01
203,Kevin Ginkel,30,ARI,NL,0.8,8,3,.727,3.21,72,0,16,0,0,5,70.0,69,31,25,6,15,0,77,3,0,4,291,132,2.85,1.200,8.9,0.8,1.9,9.9,5.13,,ginkeke01
204,Jalen Beeks*,30,2TM,NL,0.0,7,4,.636,4.50,71,0,27,0,0,10,70.0,77,42,35,6,27,2,55,3,0,7,312,102,3.99,1.486,9.9,0.8,3.5,7.1,2.04,,beeksja02
204,Jalen Beeks*,30,COL,NL,0.1,6,4,.600,4.74,45,0,21,0,0,9,49.1,49,29,26,6,18,1,38,1,0,5,211,99,4.36,1.358,8.9,1.1,3.3,6.9,2.11,,beeksja02
204,Jalen Beeks*,30,PIT,NL,-0.1,1,0,1.000,3.92,26,0,6,0,0,1,20.2,28,13,9,0,9,1,17,2,0,2,101,109,3.12,1.790,12.2,0.0,3.9,7.4,1.89,,beeksja02
205,Adrian Houser,31,NYM,NL,-0.9,1,5,.167,5.84,23,7,9,0,0,1,69.1,74,48,45,8,32,0,45,4,0,2,309,66,4.93,1.529,9.6,1.0,4.2,5.8,1.41,,housead01
